Publication Name,Article,Link,Summary,Limitations/Gaps
Frontiers in Artificial Intelligence,"Dang Anh-Hoang, Tran, V., & Nguyen, L.-M. (2025). Survey and analysis of hallucinations in large language models: Attribution to prompting strategies or model behavior.",https://doi.org/10.3389/frai.2025.1622292,"Surveys hallucination causes in LLMs, categorising them by prompting strategies and model behaviour. Finds that LLMs fabricate outputs when information is missing rather than returning null.","Focuses on hallucination classification broadly, does not test mitigation strategies in specific extraction tasks like event parsing."
JAMIA Open,"Dennstädt, F. et al. (2025). A comparative performance analysis of regular expressions and a large language model-based approach to extract the BI-RADS score from radiological reports.",https://doi.org/10.1093/jamiaopen/ooaf128,"Compared Regex and LLM for extracting scores from radiology reports. Found Regex was over 28,000 times faster but could not handle all linguistic variations.","Domain-specific to radiology. Does not address informal or ambiguous text inputs like calendar event descriptions."
Findings of the ACL 2024,"Huang, K.-H. et al. (2024). TEXTEE: Benchmark, Reevaluation, Reflections, and Future Challenges in Event Extraction.",https://aclanthology.org/2024.findings-acl.760.pdf,"Benchmarked five LLMs across 16 event extraction datasets spanning eight domains. Found LLMs fall short of achieving reliable performance compared to fine-tuned models.","Datasets span news, biomedical, cybersecurity etc. but none reflect everyday productivity scenarios like calendar scheduling."
Research Synthesis Methods,"Kataoka, Y. et al. (2025). Automating the data extraction process for systematic reviews using GPT-4o and o3.",https://doi.org/10.1017/rsm.2025.10030,"Developed an open-source GPT-4o system for automated data extraction in systematic reviews. Achieved up to 96.3% overall accuracy but found accuracy was higher for string variables than numeric variables.","Authors concluded it cannot yet replace humans for numeric data extraction. Does not address calendar-specific fields like dates and times."
Medium,"Kumar, H. (2026). Hybrid Validation Agent: Rule-Based Engine + LLM Fallback.",https://medium.com/@kumarharsh74799/the-hybrid-validation-pattern-rules-first-llm-fallback-cfe545efcd44,"Proposed a rules-first, LLM-fallback architecture for input validation. Reports 70% cost reduction and 80x speed improvement for predictable inputs.","Only tested on structured form validation and chatbot slot-filling. Whether this pattern generalises to complex domains like event extraction is untested."
ArXiv,"Latifi, P. (2025). Is ""Hope"" a person or an idea? A pilot benchmark for NER: comparing traditional NLP tools and large language models on ambiguous entities.",https://arxiv.org/abs/2509.12098,"Compared LLMs against traditional NLP tools on ambiguous named entity recognition. Found LLMs outperform on context-dependent language but conventional systems are preferable for determinism and speed.","Pilot study focused on NER ambiguity, not event extraction or structured field extraction."
Findings of the EMNLP 2024,"Liu, P. et al. (2024). A Survey on Open Information Extraction from Rule-based Model to Large Language Model.",https://aclanthology.org/2024.findings-emnlp.560.pdf,"Surveyed the evolution of open information extraction from rule-based to LLM approaches. Found hallucination is a major challenge and suggested integrating rule-based methods into LLM frameworks improves reliability.","Broad survey covering open IE generally, does not provide empirical comparison data for specific extraction tasks."
Towards Data Science,"Marin, J. (2026). Hallucinations in LLMs Are Not a Bug in the Data.",https://towardsdatascience.com/hallucinations-in-llms-are-not-a-bug-in-the-data/,"Argued that hallucinations are an inherent architectural feature of Transformers, not a data quality issue that can be fully prompted away.","Opinion/analysis piece, not empirical research. Does not test or propose specific mitigation strategies."
Applied Sciences,"Nawalny, M. et al. (2025). Comparative Evaluation of GPT-4o, GPT-OSS-120B and Llama-3.1-8B-Instruct Language Models in a Reproducible CV-to-JSON Extraction Pipeline.",https://doi.org/10.3390/app16010217,"Compared three LLMs on CV-to-JSON extraction. Found open-weight models reached only 73-79% completeness compared to GPT-4o, revealing significant performance-cost trade-offs.","Focused on CV/resume extraction, not event extraction. Does not compare LLMs against rule-based alternatives."
Ritw.dev,"Suneja, S. (2026). Hybrid Extraction: When to Use LLMs vs Local Models vs Regex.",https://ritw.dev/blog/hybrid-extraction-llms-local-models-regex/,"Discussed the practicality trade-offs of LLMs vs Regex for high-volume parsing, highlighting time inefficiency and token costs of LLMs.","Blog post, not peer-reviewed. Does not provide original experimental data."
ArXiv,"Viet Dac Lai (2022). Event Extraction: A Survey.",https://arxiv.org/pdf/2210.03419,"Comprehensive survey defining event extraction as identifying triggers and arguments (time, location, description) from natural language.","Published 2022, predates the generative LLM era (GPT-4 etc.) so does not cover LLM-based extraction approaches."
